Fecha,idNodo,Total
1,2012-10-25,1353516696420,87
2,2012-11-08,1351591800440,10258
3,2012-11-08,1351672500995,4286
4,2012-11-08,1351671926347,17296
5,2012-11-08,1353516696419,1005
6,2012-11-08,1353516696420,6310
7,2012-11-15,1351672500995,3586
8,2012-11-15,1353516696419,21241
9,2012-11-15,1351671926347,105083
10,2012-11-15,1353516696420,7196
11,2012-11-15,1351591695721,4711
12,2012-11-15,1351591800440,10676
13,2012-11-22,1351591800440,7384
14,2012-11-22,1351671926347,105233
15,2012-11-22,1351591695721,11417
16,2012-11-22,1353516696419,91272
17,2012-11-22,1353516696420,8039
18,2012-11-29,1353516696419,132269
19,2012-11-29,1353516696420,7841
20,2012-11-29,1351591800440,13049
21,2012-11-29,1351591695721,12000
22,2012-11-29,1351671926347,112802
23,2012-12-06,1351591695721,8489
24,2012-12-06,1351591800440,10710
25,2012-12-06,1351671926347,54462
26,2012-12-06,1353516696420,7539
27,2012-12-06,1353516696419,109964
28,2012-12-13,1353516696420,7912
29,2012-12-13,1351671926347,98741
30,2012-12-13,1353516696419,125420
31,2012-12-13,1351591695721,15164
32,2012-12-13,1351591800440,13679
33,2012-12-20,1351591800440,10650
34,2012-12-20,1351671926347,46456
35,2012-12-20,1351591695721,8060
36,2012-12-20,1353516696420,6789
37,2012-12-20,1353516696419,105792
38,2012-12-27,1353516696420,6328
39,2012-12-27,1353516696419,94008
40,2012-12-27,1351591695721,6942
41,2012-12-27,1351591800440,7109
42,2012-12-27,1351671926347,41162
43,2013-01-03,1351591800440,8999
44,2013-01-03,1351591695721,9654
45,2013-01-03,1351671926347,43135
46,2013-01-03,1353516696420,7554
47,2013-01-03,1353516696419,111270
48,2013-01-10,1353516696420,8783
49,2013-01-10,1351671926347,32159
50,2013-01-10,1353516696419,118548
51,2013-01-10,1351591695721,9576
52,2013-01-10,1351591800440,13793
53,2013-01-17,1351591800440,10049
54,2013-01-17,1351671926347,93280
55,2013-01-17,1351591695721,11936
56,2013-01-17,1353516696420,7787
57,2013-01-17,1353516696419,112944
58,2013-01-24,1353516696419,114989
59,2013-01-24,1351591695721,12257
60,2013-01-24,1351671926347,101423
61,2013-01-31,1353516696419,123385
62,2013-01-31,1351591695721,10419
63,2013-01-31,1351671926347,103769
64,2013-02-07,1351591695721,9807
65,2013-02-07,1351671926347,80614
66,2013-02-07,1353516696419,119870
67,2013-02-14,1351591695721,9709
68,2013-02-14,1351671926347,59302
69,2013-02-14,1353516696419,118631
70,2013-02-21,1353516696419,116566
71,2013-02-21,1351591695721,9792
72,2013-02-21,1351671926347,37418
73,2013-02-28,1353516696419,97365
74,2013-02-28,1351591695721,1819
75,2013-03-07,1353516696419,111305
76,2013-03-14,1353516696419,120367
77,2013-03-21,1353516696419,117293
78,2013-03-28,1353516696419,89986
79,2013-04-04,1353516696419,116792
80,2013-04-11,1351591868114,77728
81,2013-04-11,1351591695721,6292
82,2013-04-11,1351672370785,21521
83,2013-04-11,1351671926347,43434
84,2013-04-11,1353516696419,111653
85,2013-04-18,1351591695721,8674
86,2013-04-18,1351671926347,51381
87,2013-04-18,1353516696419,110798
88,2013-04-18,1351591868114,116064
89,2013-04-18,1351672370785,12932
90,2013-04-25,1353516696419,103457
91,2013-04-25,1351671926347,46999
92,2013-04-25,1351591868114,104738
93,2013-04-25,1351672370785,12636
94,2013-04-25,1351591695721,7108
95,2013-05-02,1351672370785,13331
96,2013-05-02,1351591868114,111785
97,2013-05-02,1351591695721,7700
98,2013-05-02,1351671926347,48474
99,2013-05-02,1353516696419,113893
100,2013-05-09,1351591868114,34225
101,2013-05-09,1351591695721,5909
102,2013-05-09,1351671926347,45636
103,2013-05-09,1351672370785,13071
104,2013-05-09,1353516696419,109189
105,2013-05-16,1351591695721,7633
106,2013-05-16,1351672370785,13095
