TS,Value
2013-05-22 00:00:00,307
2013-05-22 01:00:00,126
2013-05-22 02:00:00,73
2013-05-22 03:00:00,45
2013-05-22 04:00:00,24
2013-05-22 05:00:00,41
2013-05-22 06:00:00,50
2013-05-22 07:00:00,98
2013-05-22 08:00:00,302
2013-05-22 09:00:00,1110
2013-05-22 10:00:00,1482
2013-05-22 11:00:00,1310
2013-05-22 12:00:00,1200
2013-05-22 13:00:00,1081
2013-05-22 14:00:00,1044
2013-05-22 15:00:00,934
2013-05-22 16:00:00,1105
2013-05-22 17:00:00,962
2013-05-22 18:00:00,1138
2013-05-22 19:00:00,1081
2013-05-22 20:00:00,1080
2013-05-22 21:00:00,1079
2013-05-22 22:00:00,948
2013-05-22 23:00:00,584
2013-05-23 00:00:00,297
2013-05-23 01:00:00,143
2013-05-23 02:00:00,65
2013-05-23 03:00:00,49
2013-05-23 04:00:00,48
2013-05-23 05:00:00,63
2013-05-23 06:00:00,60
2013-05-23 07:00:00,107
2013-05-23 08:00:00,342
2013-05-23 09:00:00,1161
2013-05-23 10:00:00,1630
2013-05-23 11:00:00,1412
2013-05-23 12:00:00,1140
2013-05-23 13:00:00,1115
2013-05-23 14:00:00,1045
2013-05-23 15:00:00,1230
2013-05-23 16:00:00,1135
2013-05-23 17:00:00,978
2013-05-23 18:00:00,1143
2013-05-23 19:00:00,1067
2013-05-23 20:00:00,1160
2013-05-23 21:00:00,1105
2013-05-23 22:00:00,842
2013-05-23 23:00:00,618
2013-05-24 00:00:00,341
2013-05-24 01:00:00,147
2013-05-24 02:00:00,108
2013-05-24 03:00:00,68
2013-05-24 04:00:00,71
2013-05-24 05:00:00,60
2013-05-24 06:00:00,58
2013-05-24 07:00:00,119
2013-05-24 08:00:00,332
2013-05-24 09:00:00,1124
2013-05-24 10:00:00,1566
2013-05-24 11:00:00,1386
2013-05-24 12:00:00,1106
2013-05-24 13:00:00,1209
2013-05-24 14:00:00,1124
2013-05-24 15:00:00,1283
2013-05-24 16:00:00,1225
2013-05-24 17:00:00,1049
2013-05-24 18:00:00,1100
2013-05-24 19:00:00,1157
2013-05-24 20:00:00,1023
2013-05-24 21:00:00,1169
2013-05-24 22:00:00,901
2013-05-24 23:00:00,770
2013-05-25 00:00:00,449
2013-05-25 01:00:00,215
2013-05-25 02:00:00,158
2013-05-25 03:00:00,106
2013-05-25 04:00:00,82
2013-05-25 05:00:00,49
2013-05-25 06:00:00,60
2013-05-25 07:00:00,110
2013-05-25 08:00:00,163
2013-05-25 09:00:00,274
2013-05-25 10:00:00,461
2013-05-25 11:00:00,607
2013-05-25 12:00:00,691
2013-05-25 13:00:00,846
2013-05-25 14:00:00,944
2013-05-25 15:00:00,932
2013-05-25 16:00:00,570
2013-05-25 17:00:00,288
2013-05-25 18:00:00,315
2013-05-25 19:00:00,481
2013-05-25 20:00:00,518
2013-05-25 21:00:00,437
2013-05-25 22:00:00,453
2013-05-25 23:00:00,435
2013-05-26 00:00:00,405
2013-05-26 01:00:00,264
2013-05-26 02:00:00,173
2013-05-26 03:00:00,153
2013-05-26 04:00:00,102
2013-05-26 05:00:00,69
2013-05-26 06:00:00,45
2013-05-26 07:00:00,25
2013-05-26 08:00:00,78
2013-05-26 09:00:00,106
2013-05-26 10:00:00,144
2013-05-26 11:00:00,230
2013-05-26 12:00:00,266
2013-05-26 13:00:00,457
2013-05-26 14:00:00,422
2013-05-26 15:00:00,446
2013-05-26 16:00:00,282
2013-05-26 17:00:00,197
2013-05-26 18:00:00,273
2013-05-26 19:00:00,483
2013-05-26 20:00:00,469
2013-05-26 21:00:00,603
2013-05-26 22:00:00,595
2013-05-26 23:00:00,475
2013-05-27 00:00:00,561
2013-05-27 01:00:00,225
2013-05-27 02:00:00,138
2013-05-27 03:00:00,112
2013-05-27 04:00:00,65
2013-05-27 05:00:00,64
2013-05-27 06:00:00,71
2013-05-27 07:00:00,151
2013-05-27 08:00:00,434
2013-05-27 09:00:00,1099
2013-05-27 10:00:00,1664
2013-05-27 11:00:00,1475
2013-05-27 12:00:00,1202
2013-05-27 13:00:00,1171
2013-05-27 14:00:00,1243
2013-05-27 15:00:00,1180
2013-05-27 16:00:00,1133
2013-05-27 17:00:00,986
2013-05-27 18:00:00,1134
2013-05-27 19:00:00,989
2013-05-27 20:00:00,1151
2013-05-27 21:00:00,1056
2013-05-27 22:00:00,832
2013-05-27 23:00:00,555
2013-05-28 00:00:00,297
2013-05-28 01:00:00,154
2013-05-28 02:00:00,66
2013-05-28 03:00:00,57
2013-05-28 04:00:00,51
2013-05-28 05:00:00,41
2013-05-28 06:00:00,54
2013-05-28 07:00:00,134
2013-05-28 08:00:00,313
2013-05-28 09:00:00,1132
2013-05-28 10:00:00,1665
2013-05-28 11:00:00,1567
2013-05-28 12:00:00,1266
2013-05-28 13:00:00,1256
2013-05-28 14:00:00,1148
2013-05-28 15:00:00,644
2013-05-28 16:00:00,1205
2013-05-28 17:00:00,961
2013-05-28 18:00:00,1173
2013-05-28 19:00:00,1047
2013-05-28 20:00:00,1135
2013-05-28 21:00:00,1008
2013-05-28 22:00:00,769
2013-05-28 23:00:00,619
2013-05-29 00:00:00,315
2013-05-29 01:00:00,157
2013-05-29 02:00:00,88
2013-05-29 03:00:00,68
2013-05-29 04:00:00,60
2013-05-29 05:00:00,47
2013-05-29 06:00:00,42
2013-05-29 07:00:00,100
2013-05-29 08:00:00,347
2013-05-29 09:00:00,1282
2013-05-29 10:00:00,1517
2013-05-29 11:00:00,1314
2013-05-29 12:00:00,1263
2013-05-29 13:00:00,1184
2013-05-29 14:00:00,1116
2013-05-29 15:00:00,1412
2013-05-29 16:00:00,1146
2013-05-29 17:00:00,902
2013-05-29 18:00:00,949
2013-05-29 19:00:00,912
2013-05-29 20:00:00,1091
2013-05-29 21:00:00,890
2013-05-29 22:00:00,772
2013-05-29 23:00:00,587
2013-05-30 00:00:00,402
2013-05-30 01:00:00,180
2013-05-30 02:00:00,133
2013-05-30 03:00:00,85
2013-05-30 04:00:00,61
2013-05-30 05:00:00,40
2013-05-30 06:00:00,44
2013-05-30 07:00:00,62
2013-05-30 08:00:00,139
2013-05-30 09:00:00,381
2013-05-30 10:00:00,438
2013-05-30 11:00:00,468
2013-05-30 12:00:00,515
2013-05-30 13:00:00,587
2013-05-30 14:00:00,533
2013-05-30 15:00:00,513
2013-05-30 16:00:00,480
2013-05-30 17:00:00,389
2013-05-30 18:00:00,388
2013-05-30 19:00:00,359
2013-05-30 20:00:00,508
2013-05-30 21:00:00,440
2013-05-30 22:00:00,452
2013-05-30 23:00:00,359
2013-05-31 00:00:00,325
2013-05-31 01:00:00,181
2013-05-31 02:00:00,121
2013-05-31 03:00:00,79
2013-05-31 04:00:00,101
2013-05-31 05:00:00,50
2013-05-31 06:00:00,66
2013-05-31 07:00:00,100
2013-05-31 08:00:00,266
2013-05-31 09:00:00,662
2013-05-31 10:00:00,943
2013-05-31 11:00:00,1155
2013-05-31 12:00:00,1030
2013-05-31 13:00:00,979
2013-05-31 14:00:00,974
2013-05-31 15:00:00,955
2013-05-31 16:00:00,801
2013-05-31 17:00:00,622
2013-05-31 18:00:00,704
2013-05-31 19:00:00,717
2013-05-31 20:00:00,752
2013-05-31 21:00:00,655
2013-05-31 22:00:00,634
2013-05-31 23:00:00,640
2013-06-01 00:00:00,435
2013-06-01 01:00:00,240
2013-06-01 02:00:00,152
2013-06-01 03:00:00,89
2013-06-01 04:00:00,80
2013-06-01 05:00:00,89
2013-06-01 06:00:00,60
2013-06-01 07:00:00,112
2013-06-01 08:00:00,161
2013-06-01 09:00:00,235
2013-06-01 10:00:00,329
2013-06-01 11:00:00,429
2013-06-01 12:00:00,568
2013-06-01 13:00:00,692
2013-06-01 14:00:00,617
2013-06-01 15:00:00,650
2013-06-01 16:00:00,467
2013-06-01 17:00:00,301
2013-06-01 18:00:00,301
2013-06-01 19:00:00,343
2013-06-01 20:00:00,437
2013-06-01 21:00:00,495
2013-06-01 22:00:00,443
2013-06-01 23:00:00,415
2013-06-02 00:00:00,323
2013-06-02 01:00:00,271
2013-06-02 02:00:00,201
2013-06-02 03:00:00,124
2013-06-02 04:00:00,110
2013-06-02 05:00:00,69
2013-06-02 06:00:00,50
2013-06-02 07:00:00,51
2013-06-02 08:00:00,84
2013-06-02 09:00:00,96
2013-06-02 10:00:00,158
2013-06-02 11:00:00,186
2013-06-02 12:00:00,283
2013-06-02 13:00:00,316
2013-06-02 14:00:00,340
2013-06-02 15:00:00,381
2013-06-02 16:00:00,311
2013-06-02 17:00:00,211
2013-06-02 18:00:00,236
2013-06-02 19:00:00,360
2013-06-02 20:00:00,559
2013-06-02 21:00:00,571
2013-06-02 22:00:00,671
2013-06-02 23:00:00,544
2013-06-03 00:00:00,334
2013-06-03 01:00:00,173
2013-06-03 02:00:00,129
2013-06-03 03:00:00,47
2013-06-03 04:00:00,32
2013-06-03 05:00:00,22
2013-06-03 06:00:00,30
2013-06-03 07:00:00,104
2013-06-03 08:00:00,299
2013-06-03 09:00:00,1104
2013-06-03 10:00:00,1544
2013-06-03 11:00:00,1329
2013-06-03 12:00:00,1088
2013-06-03 13:00:00,1265
2013-06-03 14:00:00,1128
2013-06-03 15:00:00,1409
2013-06-03 16:00:00,1112
2013-06-03 17:00:00,926
2013-06-03 18:00:00,856
2013-06-03 19:00:00,957
2013-06-03 20:00:00,1043
2013-06-03 21:00:00,1074
2013-06-03 22:00:00,810
2013-06-03 23:00:00,553
2013-06-04 00:00:00,324
2013-06-04 01:00:00,147
2013-06-04 02:00:00,80
2013-06-04 03:00:00,63
2013-06-04 04:00:00,47
2013-06-04 05:00:00,62
2013-06-04 06:00:00,57
2013-06-04 07:00:00,107
2013-06-04 08:00:00,328
2013-06-04 09:00:00,1058
2013-06-04 10:00:00,1681
2013-06-04 11:00:00,1456
2013-06-04 12:00:00,1142
2013-06-04 13:00:00,1145
2013-06-04 14:00:00,1024
2013-06-04 15:00:00,1268
2013-06-04 16:00:00,1003
2013-06-04 17:00:00,925
2013-06-04 18:00:00,1000
2013-06-04 19:00:00,1090
2013-06-04 20:00:00,1044
2013-06-04 21:00:00,1016
2013-06-04 22:00:00,791
2013-06-04 23:00:00,562
2013-06-05 00:00:00,319
2013-06-05 01:00:00,146
2013-06-05 02:00:00,73
2013-06-05 03:00:00,63
2013-06-05 04:00:00,46
2013-06-05 05:00:00,42
2013-06-05 06:00:00,49
2013-06-05 07:00:00,116
2013-06-05 08:00:00,346
2013-06-05 09:00:00,1073
2013-06-05 10:00:00,1540
2013-06-05 11:00:00,1304
2013-06-05 12:00:00,1106
2013-06-05 13:00:00,1116
2013-06-05 14:00:00,1059
2013-06-05 15:00:00,1319
2013-06-05 16:00:00,1168
2013-06-05 17:00:00,919
2013-06-05 18:00:00,1122
2013-06-05 19:00:00,964
2013-06-05 20:00:00,940
2013-06-05 21:00:00,1114
2013-06-05 22:00:00,926
2013-06-05 23:00:00,591
2013-06-06 00:00:00,423
2013-06-06 01:00:00,221
2013-06-06 02:00:00,97
2013-06-06 03:00:00,65
2013-06-06 04:00:00,43
2013-06-06 05:00:00,64
2013-06-06 06:00:00,61
2013-06-06 07:00:00,96
2013-06-06 08:00:00,309
2013-06-06 09:00:00,1112
2013-06-06 10:00:00,1624
2013-06-06 11:00:00,1505
2013-06-06 12:00:00,1207
2013-06-06 13:00:00,1118
2013-06-06 14:00:00,1161
2013-06-06 15:00:00,1292
2013-06-06 16:00:00,1250
2013-06-06 17:00:00,1111
2013-06-06 18:00:00,1062
2013-06-06 19:00:00,1144
2013-06-06 20:00:00,1178
2013-06-06 21:00:00,1071
2013-06-06 22:00:00,916
2013-06-06 23:00:00,685
2013-06-07 00:00:00,429
2013-06-07 01:00:00,161
2013-06-07 02:00:00,90
2013-06-07 03:00:00,65
2013-06-07 04:00:00,42
2013-06-07 05:00:00,65
2013-06-07 06:00:00,53
2013-06-07 07:00:00,117
2013-06-07 08:00:00,315
2013-06-07 09:00:00,1000
2013-06-07 10:00:00,1613
2013-06-07 11:00:00,1430
2013-06-07 12:00:00,1015
2013-06-07 13:00:00,1266
2013-06-07 14:00:00,1202
2013-06-07 15:00:00,1292
2013-06-07 16:00:00,1220
2013-06-07 17:00:00,1049
2013-06-07 18:00:00,1074
2013-06-07 19:00:00,1129
2013-06-07 20:00:00,1213
2013-06-07 21:00:00,1110
2013-06-07 22:00:00,944
2013-06-07 23:00:00,726
2013-06-08 00:00:00,428
2013-06-08 01:00:00,202
2013-06-08 02:00:00,132
2013-06-08 03:00:00,75
2013-06-08 04:00:00,52
2013-06-08 05:00:00,59
2013-06-08 06:00:00,63
2013-06-08 07:00:00,138
2013-06-08 08:00:00,149
2013-06-08 09:00:00,265
2013-06-08 10:00:00,410
2013-06-08 11:00:00,462
2013-06-08 12:00:00,564
2013-06-08 13:00:00,652
2013-06-08 14:00:00,772
2013-06-08 15:00:00,664
2013-06-08 16:00:00,540
2013-06-08 17:00:00,261
2013-06-08 18:00:00,296
2013-06-08 19:00:00,371
2013-06-08 20:00:00,448
2013-06-08 21:00:00,475
2013-06-08 22:00:00,497
2013-06-08 23:00:00,468
2013-06-09 00:00:00,315
2013-06-09 01:00:00,200
2013-06-09 02:00:00,162
2013-06-09 03:00:00,95
2013-06-09 04:00:00,75
2013-06-09 05:00:00,54
2013-06-09 06:00:00,51
2013-06-09 07:00:00,49
2013-06-09 08:00:00,79
2013-06-09 09:00:00,80
2013-06-09 10:00:00,148
2013-06-09 11:00:00,200
2013-06-09 12:00:00,314
2013-06-09 13:00:00,409
2013-06-09 14:00:00,461
2013-06-09 15:00:00,357
2013-06-09 16:00:00,314
2013-06-09 17:00:00,233
2013-06-09 18:00:00,320
2013-06-09 19:00:00,370
2013-06-09 20:00:00,457
2013-06-09 21:00:00,567
2013-06-09 22:00:00,595
2013-06-09 23:00:00,389
2013-06-10 00:00:00,284
2013-06-10 01:00:00,145
2013-06-10 02:00:00,87
2013-06-10 03:00:00,33
2013-06-10 04:00:00,28
2013-06-10 05:00:00,33
2013-06-10 06:00:00,35
2013-06-10 07:00:00,103
2013-06-10 08:00:00,364
2013-06-10 09:00:00,1050
2013-06-10 10:00:00,1553
2013-06-10 11:00:00,1560
2013-06-10 12:00:00,1095
